Sl No.,BBMP Code,Job Number,Work Order Number,Work Order Date,Total Amount in Rs,Deduction in Rs,Net Payment in Rs ,Work Order Details,Contractor
1264,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1265,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1266,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1267,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1268,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1269,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1270,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1271,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1272,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1273,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1274,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1275,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1276,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1277,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1278,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1279,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1280,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1281,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1282,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1283,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1284,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1285,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1286,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1287,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1288,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1289,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1290,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1291,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1292,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1293,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1294,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1295,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1296,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1297,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1298,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1299,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1300,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1301,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1302,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1303,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1304,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1305,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1306,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1307,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1308,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1309,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1310,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1311,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1312,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1313,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1314,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1315,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1316,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1317,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1318,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1319,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1320,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1321,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1322,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1323,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1324,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1325,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1326,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1327,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1328,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1329,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1330,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1331,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1332,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1333,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1334,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1335,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1336,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1337,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1338,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1339,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1340,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1341,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1342,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1343,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1344,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1345,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1346,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1347,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1348,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1349,303,303-16-000001,WO-.00001,01/04/2016,34327985,5011991,29315994,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1350,303,303-16-000001,WO-.00001,01/04/2016,1679843,167984,1511859,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1351,303,303-16-000001,WO-.00001,01/04/2016,22966690,3318695,19647995,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1352,303,303-16-000001,WO-.00001,01/04/2016,27713570,2896069,24817501,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1353,303,303-16-000001,WO-.00001,01/04/2016,32430980,4614796,27816184,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1354,303,303-16-000001,WO-.00001,01/04/2016,2554554,255455,2299099,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,Sundaram Architects
1355,303,303-16-000001,WO-.00001,01/04/2016,268926,26892,242034,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. Nagadi Consultants  Pvt Ltd
1356,303,303-16-000001,WO-.00001,01/04/2016,28934080,4263275,24670805,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1357,303,303-16-000001,WO-.00001,01/04/2016,26596735,4789426,21807309,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
1358,303,303-16-000001,WO-.00001,01/04/2016,36034310,6323086,29711224,Construction of Muliti Level Car Parking (MLCP) at Freedom Park Premises at Gandhinagar Bangalore,M/s. KMV PROJECTS LTD
